,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
1,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,17.7,3.06
2,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,15.6,2.77
3,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11.6,2.16
4,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.2,1.17
5,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.2,0.59
6,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.3,0.1
7,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.8,-0.3
8,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,22.5,3.57
9,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,19.1,3.13
10,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,13.4,2.36
11,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.9,1.14
12,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.6,0.6
13,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.9,0.27
14,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-0.4,-0.15
15,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,16.8,3.3
16,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14.5,3.16
17,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11,2.89
18,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.6,1.55
19,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2,0.68
20,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,-0.1,-0.02
21,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.5,-0.42
22,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,25.8,3.79
23,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,22.3,3.36
24,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,14.8,2.4
25,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.9,1.05
26,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.1,0.45
27,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.2,0.05
28,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1.4,-0.59
29,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,15.1,3.29
30,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14,3.55
31,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,12.1,2.96
32,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,7,1.7
33,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,3.9,1.21
34,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,2.2,0.87
35,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,1,0.43
36,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,22,3.31
37,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,19.1,3.15
38,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,12.9,2.36
39,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.2,1.09
40,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.3,0.88
41,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.1,0.07
42,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1,-0.89
43,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,23.5,4.38
44,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,20.8,4.15
45,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,15.2,3.16
46,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,6.7,1.28
47,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.6,0.62
48,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.2,0.05
49,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.7,-0.23
50,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,23.2,4.11
51,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,20.1,4.01
52,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,13.6,2.82
53,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.7,1.33
54,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,1.9,0.48
55,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.4,0.14
56,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1,-0.38
57,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,18.2,3.23
58,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,16.8,3.27
59,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,14.2,2.89
60,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,9.9,2.35
61,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,6.1,1.73
62,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,5.8,1.87
63,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,4.4,1.67
64,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,5.7,2.91
65,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,5.1,2.73
66,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,3.6,2.35
67,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,2.3,1.64
68,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,1.1,1.15
69,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.5,0.54
70,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,0.2,0.25
71,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,22.1,3
72,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,21,3.1
73,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,17.6,2.8
74,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,11.8,2.1
75,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,8.9,1.6
76,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,7,1.6
77,PTY6,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,5.5,1.3
78,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,19.6,3.18
79,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,16.9,3.29
80,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,14.6,2.8
81,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,7.2,1.56
82,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,4.4,1.23
83,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,1.4,0.45
84,PTY6CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,1.9,0.69
85,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,15.9,2.6
86,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,15.3,2.49
87,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,11.4,1.93
88,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,5,0.88
89,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,1.8,0.34
90,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,0.3,0.06
91,TYP4,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,0.9,0.23
92,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,16.1,2.17
93,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,16.5,2.13
94,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,12.8,1.58
95,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,5,0.63
96,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,1.3,0.19
97,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,0,0
98,TYP4CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,-1.1,-0.19
99,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,19.5,2.58
100,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,18.9,2.51
101,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,14.5,2.02
102,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,6.8,0.97
103,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,3,0.47
104,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,0.9,0.14
105,TYP5,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,-0.3,-0.05
106,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,17.4,2.17
107,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,17.4,2.15
108,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,14.5,1.79
109,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,6.9,0.88
110,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,3.1,0.43
111,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,1.4,0.2
112,TYP5CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,-0.3,-0.05
113,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,16.7,2.39
114,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,16.4,2.2
115,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,13.4,1.69
116,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,6.9,0.86
117,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,3.2,0.4
118,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,1.1,0.15
119,TYP6,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,0,0
120,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,24.5,3.04
121,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,24.1,3.03
122,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,19.9,2.46
123,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,10.1,1.27
124,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,6.3,0.82
125,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,5.5,0.72
126,TYP6CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,4.5,0.67
127,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.7,4.01
128,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,14.1,4.13
129,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,11.7,3.38
130,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6.3,1.96
131,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,3.1,1.12
132,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,1.2,0.55
133,PCC1,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.3,-0.19
134,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,25.9,3.83
135,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,21.8,3.47
136,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,14.5,2.42
137,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,6.1,1.19
138,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,1.8,0.4
139,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,-0.2,-0.06
140,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-1.6,-0.63
141,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.1,2.81
142,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,15.2,2.94
143,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,13.2,2.74
144,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,9.6,2.21
145,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,6.9,1.9
146,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,5.4,2.02
147,PCC2,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,4.2,1.92
148,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,23.6,3.12
149,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,20.6,2.92
150,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,14.5,2.23
151,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,5.9,0.88
152,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2,0.35
153,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,0,0
154,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-1.2,-0.33
155,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.3,2.82
156,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,14.8,2.72
157,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,10.9,2.12
158,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,4.8,1.07
159,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2,0.64
160,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.3,0.14
161,PCC3,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.7,-0.53
162,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,19,4.25
163,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,18,4.08
164,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,13.5,3.35
165,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,6.1,1.8
166,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2.1,0.73
167,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,0.1,0.04
168,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-1.2,-0.62
169,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,20.4,3.21
170,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,18.8,2.95
171,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,12.9,2.29
172,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,6.4,1.42
173,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2.9,0.79
174,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,0.4,0.19
175,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-0.6,-0.44
176,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,21.5,2.83
177,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,20,2.5
178,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,15.8,2.04
179,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,10.1,1.31
180,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,5.6,0.73
181,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,3.9,0.54
182,TYP1,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,2.3,0.32
183,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,28.1,3.12
184,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,27.6,3.14
185,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,19.3,2.37
186,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,11.8,1.41
187,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,7.4,0.85
188,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,6.1,0.67
189,TYP1CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,5.5,0.61
190,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,19.2,2.69
191,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,18.1,2.52
192,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,13.3,1.79
193,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,6,0.8
194,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,2,0.26
195,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,0.1,0.01
196,TYP2,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.1,-0.15
197,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,27,3.83
198,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,24.7,3.26
199,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,20.3,2.92
200,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,10.9,1.61
201,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,8.1,1.17
202,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,6.3,0.89
203,TYP2CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,5.6,0.79
204,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,1500,13.8,2.92
205,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,1000,13.3,3.02
206,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,500,10,2.13
207,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,200,5,1.13
208,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,100,1.7,0.4
209,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,50,-0.1,-0.02
210,TYP3,2016,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.4,-0.39
211,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1500,20.1,3.08
212,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,1000,19.1,2.99
213,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,500,13.5,2.17
214,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,200,5.9,0.96
215,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,100,2.1,0.34
216,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,50,0.3,0.05
217,TYP3CU,2016,Typha,Typha_Phragmites,Phragmites,Without competition,0,-1.3,-0.24
218,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,11.9,2.44
219,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,11.2,2.25
220,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,9,1.83
221,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,4.5,1
222,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,1.8,0.51
223,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.6,0.26
224,PCA1,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.3,-0.2
225,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,1500,23.9,3.17
226,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,1000,21.1,2.84
227,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,500,14.5,2.28
228,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,200,6.4,1.21
229,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,100,2.8,0.71
230,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,50,0.8,0.44
231,PCA1CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,0,-0.4,-0.28
232,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,1500,22.5,3.03
233,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,1000,20.1,2.75
234,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,500,13.9,2.11
235,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,200,5.9,0.95
236,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,100,2.3,0.45
237,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,50,0.7,0.17
238,PCA2,2016,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.9,-0.28
239,PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,1500,23.5,3.13
240,PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,1000,21.2,2.7
241,PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,500,14.8,1.95
242,PCA2CU,2016,Phragmites,Phragmites_Carex,Carex,Without competition,200,5.9,0.87
