Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,10.1,1.98
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,9.7,2.82
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,8.4,2.42
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,4.3,1.33
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,1.2,0.41
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,-0.3,-0.11
CAP1,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-1.1,-0.44
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,12.4,2.56
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,12.1,3.45
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,9.5,2.89
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,5.6,1.89
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,2.7,0.99
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.6,0.26
CAP10,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.5,-0.23
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,14,2.68
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,13,3.69
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,10.1,3.18
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,6,2.1
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,2,0.87
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,0.2,0.12
CAP10CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.1,-0.85
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,12.2,1.95
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,11.2,2.44
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,9.1,2.39
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,5.2,1.33
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,2,0.54
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.2,0.06
CAP11,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.8,-0.27
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,8.1,2.09
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,7.3,3.15
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,6,3.16
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,3.8,1.96
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,1.9,1.04
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.4,0.24
CAP12,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.6,-0.42
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,14.7,2.28
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,13.8,3.13
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,10.8,3.12
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,5.9,1.78
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,2.6,0.89
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,0.6,0.23
CAP12CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-0.5,-0.2
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,14.5,2.44
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,13.3,3.51
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,9.6,2.7
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.5,1.42
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,0.9,0.3
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.8,-0.29
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-2.1,-0.85
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,10.3,2.6
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,9.5,3.6
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,7.2,3.26
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,3.7,2.36
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,1.1,0.85
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,-0.4,-0.46
CAP2,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-1.5,-2.17
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,12,2.52
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,11.6,3.36
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,9.4,2.86
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.1,1.38
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,0.8,0.34
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.6,-0.29
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.7,-0.87
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,9.5,2.23
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,8.4,2.86
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,7,3.5
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,4.2,2.21
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,1.3,0.87
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0,0
CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.9,-0.7
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,10.9,2.2
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,10.1,2.74
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,7.9,2.34
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.9,0
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,1.3,0.6
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.3,-0.18
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.3,-0.85
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,15,2.27
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,14.2,2.96
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,11.3,2.42
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,6,1.35
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,2.3,0.58
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.3,0.08
CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.9,-0.26
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,15.3,2.94
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,13.2,3.87
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,9.7,3.37
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.4,1.74
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,1,0.47
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.5,-0.25
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.5,-0.94
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,13.8,2.48
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,13,3.04
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,10.6,2.7
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,5.4,1.56
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,2.3,0.74
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.4,0.14
CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.8,-0.32
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,17,3.05
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,16.5,4.08
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,11.5,3.08
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,5.1,1.41
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,1.5,0.48
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.3,-0.1
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.3,-0.49
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,11.9,2.2
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,11.5,2.93
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,10.2,3.07
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,5.9,1.64
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,3.1,1.06
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,1.2,0.51
CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,0,0
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,13.7,2.28
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,12.2,2.65
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,9.4,2.63
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.8,1.33
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,1.4,0.42
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,0,0
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1,-0.33
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,13.8,2.22
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,12.7,2.51
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,9.5,2.22
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,4.3,1.02
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,0.9,0.24
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.8,-0.25
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-0.6,-0.25
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,1500,13.6,2.52
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,1000,13.1,3.38
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,500,10.3,3.07
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,200,5.8,1.86
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,100,2.5,0.9
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,50,0.9,0.38
CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,0,-0.2,-0.1
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1500,24.9,2.84
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,1000,17.1,3.17
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,500,12.5,2.87
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,200,5.7,1.57
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,100,1.8,0.49
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,50,-0.1,-0.03
CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,0,-1.2,-0.43
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.5,1.57
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,5.5,2.29
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,5,2.66
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,2.8,1.39
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.5,0.92
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.8,0.82
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,0.4,0.36
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.4,1.8
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,8.8,2.52
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,7.2,2.87
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,3.2,1.61
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.1,0.66
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0,0
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.9,-0.67
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,10.9,2.71
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,10.7,3.69
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,9.8,4.24
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.4,2.28
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2.6,1.25
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.7,0.93
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.5,-0.36
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.1,2.42
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,8.5,3.65
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,7.5,3.93
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,4,2.92
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.8,1.78
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.5,0.65
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.6,-0.77
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,12.9,2.41
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,12.4,3.15
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,10.4,3.31
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.7,1.69
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2.7,0.88
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1,0.37
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.3,-0.13
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.1,2.13
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,4.5,3.46
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,3.8,2.73
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,2.8,2.28
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.3,1.25
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,-0.1,-0.1
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.9,-1.3
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.3,2.19
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,13.5,2.9
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,11,2.41
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.1,1.4
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2.7,0.67
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.2,0.34
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,0,0
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.5,1.88
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,13,2.45
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,10.8,2.18
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.6,1.47
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.6,1.17
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.6,0.48
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,0.2,0.07
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.8,2.09
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,9,2.78
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,7.6,2.59
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,4.4,1.77
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.9,0.91
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.6,0.3
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.1,-0.06
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,18.4,2.41
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,16.8,2.84
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,13.1,2.44
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.7,1.35
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.5,0.72
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.5,0.33
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.1,-0.02
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,12.5,1.79
