Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,13.9,4.38
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,10.2,4.05
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,5.1,2.58
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,2.2,1.62
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,0.4,0.37
PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,-0.4,-0.54
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,19.2,2.99
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,17.3,3.92
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,12.7,3.47
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6.3,1.98
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.3,0.93
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.4,0.21
PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.4,-0.69
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,15.4,3.02
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,13.1,3.76
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,10.9,3.66
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,6.1,2.18
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,2.9,1.16
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,1.1,0.53
PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,-0.2,-0.12
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,21.2,2.62
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,18,3.2
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,12.9,3.31
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6.2,2.16
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,1.5,0.75
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,-0.1,-0.07
PCC4,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.4,-1.14
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16.9,2.79
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,13.9,3.59
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,10.3,3.03
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,3.7,1.55
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,0,0
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,-1.5,-1.23
PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,-3,-2.54
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.75,2.24
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,14.45,2.835
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,11.45,2.575
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.75,1.335
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,1.75,0.435
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.2,0.055
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.85,-0.31
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.48
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,15.8,3.05
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,12.1,3.03
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,4.7,1.18
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,1.5,0.43
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,-0.3,-0.1
PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,-1.9,-0.72
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.2,2.84
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,13.95,4.105
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,10.55,3.575
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.5,2.51
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.4,1.58
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.4,0.68
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-1.45,-0.875
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.45,2.51
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,15.7,3.025
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,12,2.57
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,5.75,1.35
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,2.3,0.6
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,0.55,0.15
PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,-0.55,-0.185
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,12.2,2.26
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,12.1,2.65
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,10.9,2.63
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,7.1,1.97
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.9,1.22
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,2.7,0.92
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0.6,0.24
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1500,16.1,3.49
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1000,15,5.02
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,500,11.9,4.25
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,200,5.9,2.38
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,100,2.2,1.11
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,50,0.4,0.25
PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,0,-0.8,-0.57
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,24,2.7
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,21.4,3
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,16.7,2.67
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,9.1,1.63
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.8,0.75
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1.7,0.4
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0.9,0.28
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1500,23.1,2.49
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1000,19.8,2.82
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,500,14.2,2.54
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,200,5.8,1.12
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,100,2.2,0.55
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,50,0.4,0.13
PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,0,-1,-0.39
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,21.9,2.88
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,19.9,3.08
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,14.4,2.84
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,8.2,1.86
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.5,0.93
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1.4,0.43
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0,0
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,22,2.84
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,19.5,3.26
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,13.7,2.91
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,6.5,1.54
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,2.3,0.64
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,0.2,0.06
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.1,-0.38
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1500,28.7,3.22
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1000,25.8,3.74
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,500,21.6,3.03
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,200,9,1.59
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,100,6.2,1.18
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,50,2.1,0.46
PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,0,0.8,0.2
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,21.9,2.52
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,18.6,3
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,13.4,2.82
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,6.8,1.47
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.1,0.72
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1,0.27
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.2,-0.06
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,23.1,3.15
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,20.4,3.66
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,14.6,3.56
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,6.1,1.65
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,2,0.66
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,0,0
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.3,-0.64
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1500,26,3.09
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,1000,23.1,3.41
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,500,16.6,2.76
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,200,7.8,1.47
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,100,3.1,0.54
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,50,0.7,0.14
PTY6CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,0,-1.1,-0.26
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,7.8,1.88
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,8.4,2.89
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,6.3,1.93
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,4,1.3
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,1.1,0.37
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,-0.5,-0.18
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-2.4,-0.9
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,6.7,1.47
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,5.7,1.64
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,3.9,1.28
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,1.9,0.77
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,0.3,0.15
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,-1.1,-0.62
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-2.7,-1.66
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,13.3,1.61
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,14.7,2.39
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,12.1,2.01
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,5.7,1.01
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,1.8,0.33
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,-0.1,-0.02
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.6,-0.32
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,18.9,1.87
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,19,2.44
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,14.6,2
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,4.6,0.67
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,1.8,0.32
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,-0.7,-0.13
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.9,-0.4
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,17.7,2.14
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,16.2,2.6
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,13.1,2.18
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,6,1.08
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,2.1,0.42
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,-0.3,-0.07
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.5,-0.41
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,20.7,1.9
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,20.7,2.35
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,14.9,1.95
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,6.7,0.98
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,2.4,0.37
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,0.6,0.1
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-0.4,-0.07
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,21.3,2.45
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,20.5,3.09
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,15.6,2.45
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,6.7,1.14
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,2.4,0.44
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,0,0
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.4,-0.3
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,23.8,2.07
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,22,2.63
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,16.4,1.97
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,6.3,0.8
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,1.5,0.2
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,-0.1,-0.01
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.2,-0.18
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,22.6,1.91
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,21.5,2.25
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,16.4,1.85
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,7,0.83
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,2.6,0.33
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,0.2,0.03
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.2,-0.17
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,21.3,2.22
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,18.4,2.51
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,13.4,2.08
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,6.5,1.19
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,2.4,0.49
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,0.1,0.02
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.4,-0.34
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,22.3,2.17
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,22.8,2.92
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,17.2,2.55
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,7.8,1.15
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,3.5,0.58
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,2.1,0.38
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,0.8,0.16
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,24,2.04
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,22.2,2.27
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,17,1.89
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,7.1,0.83
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,2.7,0.34
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,0.2,0.03
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.4,-0.21
