"","Site.ID","Species","Neighbours","Competition","date","height"
"236","CCP9CU","Calamagrostis","Phragmites","No","070617","94"
"237","CCP9CU","Calamagrostis","Phragmites","No","100517","79"
"238","CCP9CU","Calamagrostis","Phragmites","No","160617","100"
"239","CCP9CU","Calamagrostis","Phragmites","No","270517","81"
"240","CCP9CU","Calamagrostis","Phragmites","No","280617","103"
"241","PCA1","Phragmites","Carex","Yes","070617","158"
"242","PCA1","Phragmites","Carex","Yes","100517","56"
"243","PCA1","Phragmites","Carex","Yes","160617","193"
"244","PCA1","Phragmites","Carex","Yes","270517","136"
"245","PCA1","Phragmites","Carex","Yes","280617","225"
"246","PCA1CU","Phragmites","Carex","No","070617","120"
"247","PCA1CU","Phragmites","Carex","No","100517","54"
"248","PCA1CU","Phragmites","Carex","No","160617","130"
"249","PCA1CU","Phragmites","Carex","No","270517","107"
"250","PCA1CU","Phragmites","Carex","No","280617","148"
"251","PCA2","Phragmites","Carex","Yes","070617","112"
"252","PCA2","Phragmites","Carex","Yes","100517","53"
"253","PCA2","Phragmites","Carex","Yes","160617","142"
"254","PCA2","Phragmites","Carex","Yes","270517","89"
"255","PCA2","Phragmites","Carex","Yes","280617","170"
"256","PCA2CU","Phragmites","Carex","No","070617","116"
"257","PCA2CU","Phragmites","Carex","No","100517","50"
"258","PCA2CU","Phragmites","Carex","No","160617","144"
"259","PCA2CU","Phragmites","Carex","No","270517","110"
"260","PCA2CU","Phragmites","Carex","No","280617","165"
"261","PCA3","Phragmites","Typha","Yes","070617","131"
"262","PCA3","Phragmites","Typha","Yes","100517","77"
"263","PCA3","Phragmites","Typha","Yes","160617","160"
"264","PCA3","Phragmites","Typha","Yes","270517","108"
"265","PCA3","Phragmites","Typha","Yes","280617","173"
"266","PCA3CU","Phragmites","Typha","No","070617","149"
"267","PCA3CU","Phragmites","Typha","No","100517","76"
"268","PCA3CU","Phragmites","Typha","No","160617","174"
"269","PCA3CU","Phragmites","Typha","No","270517","129"
"270","PCA3CU","Phragmites","Typha","No","280617","175"
"271","PCA4","Phragmites","Typha","Yes","070617","200"
"272","PCA4","Phragmites","Typha","Yes","100517","85"
"273","PCA4","Phragmites","Typha","Yes","160617","210"
"274","PCA4","Phragmites","Typha","Yes","270517","159"
"275","PCA4","Phragmites","Typha","Yes","280617","220"
"276","PCA4CU","Phragmites","Typha","No","070617","144"
"277","PCA4CU","Phragmites","Typha","No","100517","87"
"278","PCA4CU","Phragmites","Typha","No","160617","147"
"279","PCA4CU","Phragmites","Typha","No","270517","130"
"280","PCA4CU","Phragmites","Typha","No","280617","147"
"281","PCA5","Phragmites","Typha","Yes","070617","135"
"282","PCA5","Phragmites","Typha","Yes","100517","68"
"283","PCA5","Phragmites","Typha","Yes","160617","152"
"284","PCA5","Phragmites","Typha","Yes","270517","113"
"285","PCA5","Phragmites","Typha","Yes","280617","180"
"286","PCA5CU","Phragmites","Typha","No","070617","154"
"287","PCA5CU","Phragmites","Typha","No","100517","70"
"288","PCA5CU","Phragmites","Typha","No","160617","187"
"289","PCA5CU","Phragmites","Typha","No","270517","137"
"290","PCA5CU","Phragmites","Typha","No","280617","188"
"291","PCA6","Phragmites","Typha","Yes","070617","134"
"292","PCA6","Phragmites","Typha","Yes","100517","58"
"293","PCA6","Phragmites","Typha","Yes","160617","159"
"294","PCA6","Phragmites","Typha","Yes","270517","117"
"295","PCA6","Phragmites","Typha","Yes","280617","162"
"296","PCA6CU","Phragmites","Typha","No","070617","112"
"297","PCA6CU","Phragmites","Typha","No","100517","60"
"298","PCA6CU","Phragmites","Typha","No","160617","134"
"299","PCA6CU","Phragmites","Typha","No","270517","106"
"300","PCA6CU","Phragmites","Typha","No","280617","135"
"301","PCC1","Phragmites","Calamagrostis","Yes","070617","167"
"302","PCC1","Phragmites","Calamagrostis","Yes","100517","52"
"303","PCC1","Phragmites","Calamagrostis","Yes","160617","210"
"304","PCC1","Phragmites","Calamagrostis","Yes","270517","137"
"305","PCC1","Phragmites","Calamagrostis","Yes","280617","210"
"306","PCC1CU","Phragmites","Calamagrostis","No","070617","125"
"307","PCC1CU","Phragmites","Calamagrostis","No","100517","49"
"308","PCC1CU","Phragmites","Calamagrostis","No","160617","147"
"309","PCC1CU","Phragmites","Calamagrostis","No","270517","108"
"310","PCC1CU","Phragmites","Calamagrostis","No","280617","150"
"311","PCC2","Phragmites","Calamagrostis","Yes","070617","163"
"312","PCC2","Phragmites","Calamagrostis","Yes","100517","51"
"313","PCC2","Phragmites","Calamagrostis","Yes","160617","205"
"314","PCC2","Phragmites","Calamagrostis","Yes","270517","126"
"315","PCC2","Phragmites","Calamagrostis","Yes","280617","219"
"316","PCC2CU","Phragmites","Calamagrostis","No","070617","180"
"317","PCC2CU","Phragmites","Calamagrostis","No","100517","54"
"318","PCC2CU","Phragmites","Calamagrostis","No","160617","217"
"319","PCC2CU","Phragmites","Calamagrostis","No","270517","140"
"320","PCC2CU","Phragmites","Calamagrostis","No","280617","240"
"321","PCC3","Phragmites","Calamagrostis","Yes","070617","165"
"322","PCC3","Phragmites","Calamagrostis","Yes","100517","51"
"323","PCC3","Phragmites","Calamagrostis","Yes","160617","199"
"324","PCC3","Phragmites","Calamagrostis","Yes","270517","132"
"325","PCC3","Phragmites","Calamagrostis","Yes","280617","215"
"326","PCC3CU","Phragmites","Calamagrostis","No","070617","100"
"327","PCC3CU","Phragmites","Calamagrostis","No","100517","50"
"328","PCC3CU","Phragmites","Calamagrostis","No","160617","124"
"329","PCC3CU","Phragmites","Calamagrostis","No","270517","79"
"330","PCC3CU","Phragmites","Calamagrostis","No","280617","230"
"331","PCC4","Phragmites","Calamagrostis","Yes","070617","207"
"332","PCC4","Phragmites","Calamagrostis","Yes","100517","59"
"333","PCC4","Phragmites","Calamagrostis","Yes","160617","260"
"334","PCC4","Phragmites","Calamagrostis","Yes","270517","155"
"335","PCC4","Phragmites","Calamagrostis","Yes","280617","292"
"336","PCC4CU","Phragmites","Calamagrostis","No","070617","176"
"337","PCC4CU","Phragmites","Calamagrostis","No","100517","57"
"338","PCC4CU","Phragmites","Calamagrostis","No","160617","210"
"339","PCC4CU","Phragmites","Calamagrostis","No","270517","136"
"340","PCC4CU","Phragmites","Calamagrostis","No","280617","220"
"341","PCC5","Phragmites","Carex","Yes","070617","115"
"342","PCC5","Phragmites","Carex","Yes","100517","54"
"343","PCC5","Phragmites","Carex","Yes","160617","164"
"344","PCC5","Phragmites","Carex","Yes","270517","106"
"345","PCC5","Phragmites","Carex","Yes","280617","170"
"346","PCC5CU","Phragmites","Carex","No","070617","150"
"347","PCC5CU","Phragmites","Carex","No","100517","55"
"348","PCC5CU","Phragmites","Carex","No","160617","174"
"349","PCC5CU","Phragmites","Carex","No","270517","113"
"350","PCC5CU","Phragmites","Carex","No","280617","185"
"351","PCC6","Phragmites","Carex","Yes","070617","121"
"352","PCC6","Phragmites","Carex","Yes","100517","76"
"353","PCC6","Phragmites","Carex","Yes","160617","122"
"354","PCC6","Phragmites","Carex","Yes","270517","118"
"355","PCC6","Phragmites","Carex","Yes","280617","125"
"356","PCC6CU","Phragmites","Carex","No","070617","148"
"357","PCC6CU","Phragmites","Carex","No","100517","78"
"358","PCC6CU","Phragmites","Carex","No","160617","166"
"359","PCC6CU","Phragmites","Carex","No","270517","129"
"360","PCC6CU","Phragmites","Carex","No","280617","180"
"361","PTY1","Phragmites","Typha","Yes","070617","153"
"362","PTY1","Phragmites","Typha","Yes","100517","63"
"363","PTY1","Phragmites","Typha","Yes","160617","190"
"364","PTY1","Phragmites","Typha","Yes","270517","118"
"365","PTY1","Phragmites","Typha","Yes","280617","204"
"366","PTY1CU","Phragmites","Typha","No","070617","165"
"367","PTY1CU","Phragmites","Typha","No","100517","64"
"368","PTY1CU","Phragmites","Typha","No","160617","194"
"369","PTY1CU","Phragmites","Typha","No","270517","133"
"370","PTY1CU","Phragmites","Typha","No","280617","209"
"371","PTY2","Phragmites","Typha","Yes","070617","171"
"372","PTY2","Phragmites","Typha","Yes","100517","58"
"373","PTY2","Phragmites","Typha","Yes","160617","220"
"374","PTY2","Phragmites","Typha","Yes","270517","133"
"375","PTY2","Phragmites","Typha","Yes","280617","236"
"376","PTY2CU","Phragmites","Typha","No","070617","165"
"377","PTY2CU","Phragmites","Typha","No","100517","56"
"378","PTY2CU","Phragmites","Typha","No","160617","170"
"379","PTY2CU","Phragmites","Typha","No","270517","129"
"380","PTY2CU","Phragmites","Typha","No","280617","210"
"381","PTY3","Phragmites","Typha","Yes","070617","183"
"382","PTY3","Phragmites","Typha","Yes","100517","71"
"383","PTY3","Phragmites","Typha","Yes","160617","216"
"384","PTY3","Phragmites","Typha","Yes","270517","151"
"385","PTY3","Phragmites","Typha","Yes","280617","244"
"386","PTY3CU","Phragmites","Typha","No","070617","156"
"387","PTY3CU","Phragmites","Typha","No","100517","70"
"388","PTY3CU","Phragmites","Typha","No","160617","196"
"389","PTY3CU","Phragmites","Typha","No","270517","134"
"390","PTY3CU","Phragmites","Typha","No","280617","222"
"391","PTY4","Phragmites","Typha","Yes","070617","163"
"392","PTY4","Phragmites","Typha","Yes","100517","80"
"393","PTY4","Phragmites","Typha","Yes","160617","235"
"394","PTY4","Phragmites","Typha","Yes","270517","161"
"395","PTY4","Phragmites","Typha","Yes","280617","268"
"396","PTY4CU","Phragmites","Typha","No","070617","198"
"397","PTY4CU","Phragmites","Typha","No","100517","84"
"398","PTY4CU","Phragmites","Typha","No","160617","233"
"399","PTY4CU","Phragmites","Typha","No","270517","163"
"400","PTY4CU","Phragmites","Typha","No","280617","264"
"401","PTY5","Phragmites","Typha","Yes","070617","163"
"402","PTY5","Phragmites","Typha","Yes","100517","77"
"403","PTY5","Phragmites","Typha","Yes","160617","189"
"404","PTY5","Phragmites","Typha","Yes","270517","132"
"405","PTY5","Phragmites","Typha","Yes","280617","211"
"406","PTY5CU","Phragmites","Typha","No","070617","n/a"
"407","PTY5CU","Phragmites","Typha","No","100517","75"
"408","PTY5CU","Phragmites","Typha","No","160617","n/a"
"409","PTY5CU","Phragmites","Typha","No","270517","144"
"410","PTY5CU","Phragmites","Typha","No","280617","n/a"
"411","PTY6","Phragmites","Typha","Yes","070617","201"
"412","PTY6","Phragmites","Typha","Yes","100517","86"
"413","PTY6","Phragmites","Typha","Yes","160617","222"
"414","PTY6","Phragmites","Typha","Yes","270517","156"
"415","PTY6","Phragmites","Typha","Yes","280617","244"
"416","PTY6CU","Phragmites","Typha","No","070617","175"
"417","PTY6CU","Phragmites","Typha","No","100517","88"
"418","PTY6CU","Phragmites","Typha","No","160617","220"
"419","PTY6CU","Phragmites","Typha","No","270517","146"
"420","PTY6CU","Phragmites","Typha","No","280617","238"
"421","TYP1","Typha","Phragmites","Yes","070617","223"
"422","TYP1","Typha","Phragmites","Yes","100517","85"
"423","TYP1","Typha","Phragmites","Yes","160617","252"
"424","TYP1","Typha","Phragmites","Yes","270517","182"
"425","TYP1","Typha","Phragmites","Yes","280617","252"
"426","TYP1CU","Typha","Phragmites","No","070617","194"
"427","TYP1CU","Typha","Phragmites","No","100517","84"
"428","TYP1CU","Typha","Phragmites","No","160617","230"
"429","TYP1CU","Typha","Phragmites","No","270517","153"
"430","TYP1CU","Typha","Phragmites","No","280617","248"
"431","TYP2","Typha","Phragmites","Yes","070617","200"
"432","TYP2","Typha","Phragmites","Yes","100517","76"
"433","TYP2","Typha","Phragmites","Yes","160617","255"
"434","TYP2","Typha","Phragmites","Yes","270517","150"
"435","TYP2","Typha","Phragmites","Yes","280617","263"
"436","TYP2CU","Typha","Phragmites","No","070617","102"
"437","TYP2CU","Typha","Phragmites","No","100517","74"
"438","TYP2CU","Typha","Phragmites","No","160617","244"
"439","TYP2CU","Typha","Phragmites","No","270517","158"
"440","TYP2CU","Typha","Phragmites","No","280617","270"
"441","TYP3","Typha","Phragmites","Yes","070617","207"
"442","TYP3","Typha","Phragmites","Yes","100517","84"
"443","TYP3","Typha","Phragmites","Yes","160617","252"
"444","TYP3","Typha","Phragmites","Yes","270517","170"
"445","TYP3","Typha","Phragmites","Yes","280617","288"
"446","TYP3CU","Typha","Phragmites","No","070617","192"
"447","TYP3CU","Typha","Phragmites","No","100517","82"
"448","TYP3CU","Typha","Phragmites","No","160617","229"
"449","TYP3CU","Typha","Phragmites","No","270517","167"
"450","TYP3CU","Typha","Phragmites","No","280617","268"
"451","TYP4","Typha","Phragmites","Yes","070617","118"
"452","TYP4","Typha","Phragmites","Yes","100517","87"
"453","TYP4","Typha","Phragmites","Yes","160617","267"
"454","TYP4","Typha","Phragmites","Yes","270517","173"
"455","TYP4","Typha","Phragmites","Yes","280617","284"
"456","TYP4CU","Typha","Phragmites","No","070617","217"
"457","TYP4CU","Typha","Phragmites","No","100517","89"
"458","TYP4CU","Typha","Phragmites","No","160617","247"
"459","TYP4CU","Typha","Phragmites","No","270517","174"
"460","TYP4CU","Typha","Phragmites","No","280617","274"
"461","TYP5","Typha","Phragmites","Yes","070617","218"
"462","TYP5","Typha","Phragmites","Yes","100517","76"
"463","TYP5","Typha","Phragmites","Yes","160617","276"
"464","TYP5","Typha","Phragmites","Yes","270517","179"
"465","TYP5","Typha","Phragmites","Yes","280617","302"
"466","TYP5CU","Typha","Phragmites","No","070617","186"
"467","TYP5CU","Typha","Phragmites","No","100517","76"
"468","TYP5CU","Typha","Phragmites","No","160617","210"
"469","TYP5CU","Typha","Phragmites","No","270517","144"
"470","TYP5CU","Typha","Phragmites","No","280617","244"
"471","TYP6","Typha","Phragmites","Yes","070617","187"
"472","TYP6","Typha","Phragmites","Yes","100517","70"
"473","TYP6","Typha","Phragmites","Yes","160617","249"
"474","TYP6","Typha","Phragmites","Yes","270517","162"
"475","TYP6","Typha","Phragmites","Yes","280617","288"
"476","TYP6CU","Typha","Phragmites","No","070617","190"
"477","TYP6CU","Typha","Phragmites","No","100517","72"
"478","TYP6CU","Typha","Phragmites","No","160617","245"
"479","TYP6CU","Typha","Phragmites","No","270517","157"
"480","TYP6CU","Typha","Phragmites","No","280617","270"
